LAMF · COPY BANK — REUSABLE BUILDING BLOCKS			
USPs · CTAs · Power Words · Key Phrases · Emotional Triggers — All pre-approved for LAMF use			
📌 CORE USPs — USE THESE IN ALL COPY			
#	Label	Copy / Phrase / Description
1	Rate Advantage	LAMF @ 10.5%* p.a. — interest only on amount utilized	53
2	No Redemption	MF units lien-marked, not sold — portfolio continues to grow	60
3	No Tax Trigger	No capital gains tax event — no redemption = no tax	51
4	Speed	100% digital process — fast approval, fast disbursal	52
5	Regulation	SEBI & RBI regulated NBFC — trusted and compliant	49
6	Legacy	40+ years of trust — Shriram Credit since 1974	46
7	Portfolio Safety	Investments intact while you access funds	41
8	Flexibility	Interest only on the amount you use, not full limit	51
9	Limit	Funds up to ₹2 Cr* based on MF portfolio value	46
10	Comparison	Significantly lower rate than personal loans (typically 18–24%)	63
🎯 CTA BANK — CALL-TO-ACTION OPTIONS			
#	Label	Copy / Phrase / Description
1	Primary Conversion	Apply for LAMF	14
2	Eligibility Check	Check Eligibility	17
3	Value Discovery	Check Your Loan Value	21
4	Feature-Led	Unlock a Credit Line	20
5	Ownership-Led	Unlock My Funds	15
6	Tool CTA	Calculate LAMF Eligibility	26
7	Action-First	Pledge Now	10
8	Short Mobile	Pledge MF	9
9	Limit Discovery	Unlock Your Credit Limit	24
10	Speed-Led	Get Approved in 5 Minutes	25
11	Benefit Pair	Get Cash, Stay Invested	23
12	Soft Entry	Learn More About LAMF	21
⚡ POWER WORDS & EMOTIONAL TRIGGERS			
#	Label	Copy / Phrase / Description
1	Urgency	Instantly · Fast · Quick · Now · Today · Minutes	48
2	Safety	Secure · Protected · Safe · Intact · Preserved · Lien-Marked	60
3	Trust	Trusted · Regulated · Legacy · SEBI · RBI · 40+ Years	53
4	Smart/Savvy	Smarter · Intelligent · Strategic · Wise · Efficient	52
5	Fear of Loss	Don't Break · Don't Sell · Don't Redeem · Protect	49
6	Exclusivity	Your Portfolio · Your Wealth · Your Future · Your Goals	55
7	Comparison	Better than · Unlike loans · vs personal loan · smarter	55
8	Simplicity	Simple · Easy · Digital · Paperless · No Branch Visit	53
💡 LAMF KEY MESSAGES — BY AUDIENCE NEED			
#	Label	Copy / Phrase / Description
1	Personal Loan Seeker	LAMF @ 10.5%* p.a. — significantly lower than personal loans. Stay invested while getting funds.	96
2	Emergency Need	Your MF portfolio is your emergency fund. Pledge it. Get cash instantly. Investments intact.	92
3	Wedding / Event	Fund life's milestones without breaking your portfolio. LAMF — pledge, celebrate, stay invested.	96
4	Education	Fund education goals without selling your SIP. LAMF: lien-mark MF, access funds, keep compounding.	98
5	Investor Mindset	Smart investors don't always sell. Pledge your MF instead. No redemption. No capital gains tax.	95
6	Wealth Preservation	Your wealth shouldn't stop working while you access liquidity. LAMF keeps both intact.	86
7	Rate Sensitive	Personal loans charge 18–24%. LAMF starts at 10.5%* p.a. The math is clear. Switch.	83
8	Trust / Credibility	Shriram Credit: SEBI & RBI regulated NBFC, 40+ years of legacy. LAMF — trusted liquidity.	89
🚫 WORDS / PHRASES TO AVOID			
#	Label	Copy / Phrase / Description
1	Forbidden — Product Name	'mutual fund loans', 'loan against mutual funds' (lowercase), 'MF loans', 'mutual fund borrowing'	97
2	Forbidden — Rate	'10.5%' without asterisk, '10.5 percent', 'lowest rate' (superlative claim)	75
3	Forbidden — Competitor	Any specific bank/NBFC/fintech name comparison (e.g. 'better than HDFC')	72
4	Forbidden — Guarantee	'guaranteed approval', 'guaranteed rate', 'no rejection'	56
5	Forbidden — Superlatives	'best', 'lowest', 'fastest', '#1' — unless backed by documented evidence	72
6	Caution — Compliance	No Foreclosure Charges*, Zero Fees*, No Capital Gains* — needs compliance sign-off	82
