LAMF · GOOGLE DEMAND GEN — YOUTUBE & DISCOVER COPY							
Headlines ≤40 chars (up to 5) | Descriptions ≤90 chars (up to 5) | For YouTube Discovery + Google Discover + Gmail							
DEMAND GEN HEADLINES — ≤ 40 chars each (up to 5)							
#	Pin	Headline Copy (≤40 chars)	Chars	Limit	Status
1	—	Why Break Investments For Cash?	31	40	✓ OK
2	—	LAMF @ 10.5%* p.a. — Stay Invested.	35	40	✓ OK
3	—	Your MF Portfolio = Your Liquidity.	35	40	✓ OK
4	—	Smart Investors Don't Always Redeem.	36	40	✓ OK
5	—	Access Funds Without Selling Your MF.	37	40	✓ OK
DEMAND GEN DESCRIPTIONS — ≤ 90 chars each (up to 5)							
#	Pin	Description Copy (≤90 chars)	Chars	Limit	Status
1	—	Stay invested while accessing funds. LAMF — pledge your MF, get cash at 10.5%* p.a.	83	90	✓ OK
2	—	Why redeem your MF when you can lien-mark it? Access funds fast. Wealth keeps growing.	86	90	✓ OK
3	—	MF units lien-marked, not sold. No capital gains tax. 100% digital. SEBI regulated NBFC.	88	90	✓ OK
4	—	Your SIP continues. Your goals stay on track. LAMF: the smarter way to access liquidity.	88	90	✓ OK
5	—	Shriram Credit: 40+ years of trust. LAMF at 10.5%* p.a. Apply now — 100% digital.	81	90	✓ OK
CTA OPTIONS: Learn More | Apply Now | Get Quote | Sign Up | Explore | Shop Now							
